RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,barcode_length
038f1430-1001-4091-9851-5c9905085460,2024-06-27,2024-06-28 18:56:30.753 Z,ALBERTSONS,63b72f153d310dceeabd3b3d,00021130184941,1.00,3.98,11
a0bad7db-c5d5-4b05-a3b2-44604a9e83ea,2024-07-03,2024-07-13 16:28:38.975 Z,WALMART,614ba63da4e2a6269fbfeeeb,00078742201023,1.00,1.48,11
10305098-13f7-49e5-aa49-279a7dba67d7,2024-08-26,2024-08-27 17:34:26.676 Z,MEIJER,625b646cdc4d33411a05786e,00039400016144,1.00,1.79,11
97d99aae-d814-4522-9fef-c1cfc0b7e8bb,2024-07-03,2024-07-03 13:21:13.883 Z,COSTCO,64a486bc127ddb5d7f02d884,00000013611705,1.00,13.99,8
7d9bf6ca-eea4-4d78-9843-1413c6618273,2024-08-10,2024-08-10 16:05:14.188 Z,COSTCO,5f938e34ab0d6116d3dfa230,00048001481213,1.00,9.99,11
e95c438f-1948-4f16-b135-7dfac24d74f8,2024-08-09,2024-08-12 21:09:29.917 Z,MEIJER,64c923013b79cc7414891761,00039400016144,2.00,5.18,11
d02354cf-fe28-42d7-920f-644e2eed4b0c,2024-08-17,2024-08-25 23:17:39.416 Z,WALMART,61f719fbef7af0592dd010e1,00029200907964,1.00,1.48,11
bbde70df-15e6-4f00-aead-a09b730b38e1,2024-07-04,2024-07-04 11:14:10.031 Z,WALMART,665b80e67c0469953bfb5d6b,00681131034579,1.00,4.28,12
2cea09d8-d595-4fdd-8135-ef6287e292dd,2024-06-28,2024-06-29 06:48:25.868 Z,KROGER,58bc8c3ae4b0883d67f2f27d,00311111885333,1.00,0.00,12
2ed6ba40-3244-4891-b08a-35153f4410eb,2024-07-27,2024-07-28 15:20:08.775 Z,PUBLIX,66255c1989578edd4a1180b0,00041415120051,1.00,8.79,11
8a878bde-c67f-4a18-8cc2-be2c5f5b6e8f,2024-07-18,2024-07-18 15:15:10.667 Z,CERMAK FRESH MARKET,60a2e6455c47c57e6fe7bbeb,00311111806222,1.00,8.99,12
f25c6be7-d529-4c12-8d6c-a8ea01966253,2024-06-26,2024-06-27 07:30:24.692 Z,DOLLAR TREE STORES INC,65c573a616cc39173210a2c1,00047677482487,1.00,1.25,11
fa2ed6c6-e7cc-42d9-9c29-c4fa2b879e75,2024-06-18,2024-06-18 13:27:52.155 Z,WALMART,5a65164ce4b00bcc4d1e5bbb,00888849003891,1.00,8.88,12
bcb1560b-7007-48e8-ba98-1c9f8aa434a1,2024-09-05,2024-09-05 17:31:53.907 Z,PUBLIX,657e62400f329c2d9539bd6f,00511111914983,1.00,2.79,12
0cd91f66-3dab-43da-87c2-dbe9983b725f,2024-08-03,2024-08-06 07:47:18.967 Z,TARGET,605bbb54f4bbc20104435bfb,00810028573482,1.00,5.29,12
f25eb469-dcaa-4186-a563-e126f270d5c8,2024-08-03,2024-08-03 18:50:22.066 Z,PRICERITE,62af52d6cc43018bbbf8e9a0,00000000000000,1.00,3.49,0
2a95fd48-d6a0-4148-a067-88abd4aacc80,2024-08-23,2024-08-23 20:59:42.085 Z,WALMART,629a12dcd96666557032fc30,00078742346342,1.00,1.67,11
df7c8cb2-405a-4ac4-b57b-f53c1e512b34,2024-08-22,2024-08-22 21:13:01.895 Z,KROGER,624926a189dfe41b042fb204,00077975095133,1.00,1.99,11
0c647124-73fa-4c62-a817-c5d4a9b5f003,2024-08-01,2024-08-02 20:24:42.524 Z,WALMART,666b70e886cc41b000cb074f,00078742371177,1.00,8.17,11
adce24d6-5507-4a02-a701-54ae955b0b66,2024-07-11,2024-07-11 10:25:09.827 Z,MEIJER,5d9a4ad31750dd776dd5a955,00027800063615,1.00,3.25,11
ab91e659-2ebb-40f1-9b0c-fef772e90886,2024-08-11,2024-08-11 11:53:16.878 Z,WALMART,5ddc2c4080c5054e5a9245bb,00078742371177,1.00,1.24,11
ee0d6bf0-aaee-4f04-a771-5a1aa66fa6ec,2024-08-16,2024-08-17 22:04:23.292 Z,WALMART,64fce684791f8099cbbd7625,00078742371177,1.00,8.17,11
b415b745-da07-434f-a75c-5493023c3b80,2024-08-27,2024-08-28 09:39:31.146 Z,KROGER,644970f4347839fdfa9a4aac,00036200219331,1.00,2.99,11
57ca7e47-cf68-4ef2-91cc-c272e4eaab5e,2024-08-25,2024-09-04 12:40:24.253 Z,PUBLIX,60ef472580158f6d6dd96a56,00041415085862,1.00,1.99,11
0cda9a47-4067-4b7c-8bf1-9c8466ecbeb1,2024-08-28,2024-09-06 21:02:28.923 Z,WALMART,5ebdacc028fe1313b43f4a11,00078742371177,1.00,8.17,11
c8530894-1795-490d-967a-1e2989da4b6b,2024-08-26,2024-08-26 22:11:04.610 Z,WALMART,6361e87e7de9f36352040b5a,00078742371177,1.00,8.17,11
0cd5b607-d086-40ba-bf94-e0cf26b92fe1,2024-08-31,2024-08-31 12:44:23.309 Z,WALMART,63c34d5f3d310dceeac6ec4b,00054100009708,1.00,2.97,11
da78bf1f-84a3-4c20-868f-bc9288a3d879,2024-08-01,2024-08-01 09:07:16.770 Z,FOOD LION,60609308efdfa066f0dc99a0,00076410905426,2.00,10.78,11
c40def7d-9c77-42b3-a536-074c073bbf41,2024-08-16,2024-08-23 08:14:28.173 Z,WALMART,5eda4f949c56f813f1456475,00078742371177,1.00,8.17,11
